Time,Command,Host IP,Destination Port
2024-04-17 23:57:41,"attack type: normal - no attack, message: up",192.168.42.170,44384
2024-04-17 23:58:00,"attack type: normal - no attack, message: right",192.168.42.170,39555
2024-04-17 23:58:01,"attack type: normal - no attack, message: up",192.168.42.170,15102
2024-04-17 23:58:01,"attack type: normal - no attack, message: up",192.168.42.170,13965
2024-04-17 23:58:02,"attack type: normal - no attack, message: right",192.168.42.170,15091
2024-04-17 23:58:02,"attack type: normal - no attack, message: right",192.168.42.170,2415
2024-04-17 23:58:02,"attack type: normal - no attack, message: up",192.168.42.170,25120
2024-04-17 23:58:03,"attack type: normal - no attack, message: up",192.168.42.170,18387
2024-04-17 23:58:03,"attack type: normal - no attack, message: up",192.168.42.170,37823
2024-04-17 23:58:03,"attack type: normal - no attack, message: right",192.168.42.170,70
2024-04-17 23:58:04,"attack type: normal - no attack, message: right",192.168.42.170,35241
2024-04-17 23:58:04,"attack type: normal - no attack, message: right",192.168.42.170,17018
2024-04-17 23:58:04,"attack type: normal - no attack, message: right",192.168.42.170,48424
2024-04-17 23:58:04,"attack type: normal - no attack, message: right",192.168.42.170,27862
2024-04-17 23:58:04,"attack type: normal - no attack, message: right",192.168.42.170,30560
2024-04-17 23:58:05,"attack type: normal - no attack, message: right",192.168.42.170,28671
2024-04-17 23:58:05,"attack type: normal - no attack, message: right",192.168.42.170,7858
2024-04-17 23:58:05,"attack type: normal - no attack, message: right",192.168.42.170,45244
2024-04-17 23:58:05,"attack type: normal - no attack, message: up",192.168.42.170,46152
2024-04-17 23:58:06,"attack type: normal - no attack, message: right",192.168.42.170,54715
2024-04-17 23:58:07,"attack type: normal - no attack, message: right",192.168.42.170,42618
2024-04-17 23:58:07,"attack type: normal - no attack, message: right",192.168.42.170,47853
2024-04-17 23:58:07,"attack type: normal - no attack, message: right",192.168.42.170,40413
2024-04-17 23:58:08,"attack type: normal - no attack, message: right",192.168.42.170,32418
2024-04-17 23:58:08,"attack type: normal - no attack, message: right",192.168.42.170,2288
2024-04-17 23:58:08,"attack type: normal - no attack, message: right",192.168.42.170,53235
2024-04-17 23:58:08,"attack type: normal - no attack, message: right",192.168.42.170,16255
2024-04-17 23:58:08,"attack type: normal - no attack, message: right",192.168.42.170,4081
2024-04-17 23:58:09,"attack type: normal - no attack, message: right",192.168.42.170,49236
2024-04-17 23:58:10,"attack type: normal - no attack, message: down",192.168.42.170,43849
2024-04-17 23:58:10,"attack type: normal - no attack, message: down",192.168.42.170,47010
2024-04-17 23:58:13,"attack type: normal - no attack, message: down",192.168.42.170,15109
2024-04-17 23:58:13,"attack type: normal - no attack, message: down",192.168.42.170,3063
2024-04-17 23:58:13,"attack type: normal - no attack, message: down",192.168.42.170,39880
2024-04-17 23:58:14,"attack type: normal - no attack, message: down",192.168.42.170,22758
2024-04-17 23:58:14,"attack type: normal - no attack, message: down",192.168.42.170,14522
2024-04-17 23:58:14,"attack type: normal - no attack, message: down",192.168.42.170,12688
2024-04-17 23:58:15,"attack type: normal - no attack, message: down",192.168.42.170,60669
2024-04-17 23:58:15,"attack type: normal - no attack, message: down",192.168.42.170,5183
2024-04-17 23:58:15,"attack type: normal - no attack, message: down",192.168.42.170,33017
2024-04-17 23:58:15,"attack type: normal - no attack, message: down",192.168.42.170,33994
2024-04-17 23:58:16,"attack type: normal - no attack, message: down",192.168.42.170,28879
2024-04-17 23:58:16,"attack type: normal - no attack, message: left",192.168.42.170,18133
2024-04-17 23:58:16,"attack type: normal - no attack, message: left",192.168.42.170,51574
2024-04-17 23:58:17,"attack type: normal - no attack, message: left",192.168.42.170,49040
2024-04-17 23:58:17,"attack type: normal - no attack, message: down",192.168.42.170,18313
2024-04-17 23:58:17,"attack type: normal - no attack, message: left",192.168.42.170,54213
2024-04-17 23:58:17,"attack type: normal - no attack, message: left",192.168.42.170,45749
2024-04-17 23:58:17,"attack type: normal - no attack, message: down",192.168.42.170,63992
2024-04-17 23:58:18,"attack type: normal - no attack, message: left",192.168.42.170,18798
2024-04-17 23:58:18,"attack type: normal - no attack, message: up",192.168.42.170,4115
2024-04-17 23:58:18,"attack type: normal - no attack, message: up",192.168.42.170,3723
2024-04-17 23:58:18,"attack type: normal - no attack, message: left",192.168.42.170,46314
2024-04-17 23:58:19,"attack type: normal - no attack, message: up",192.168.42.170,58998
2024-04-17 23:58:19,"attack type: normal - no attack, message: up",192.168.42.170,30941
2024-04-17 23:58:19,"attack type: normal - no attack, message: up",192.168.42.170,46057
2024-04-17 23:58:19,"attack type: normal - no attack, message: up",192.168.42.170,18860
2024-04-17 23:58:19,"attack type: normal - no attack, message: left",192.168.42.170,22931
2024-04-17 23:58:20,"attack type: normal - no attack, message: left",192.168.42.170,54653
2024-04-17 23:58:20,"attack type: normal - no attack, message: left",192.168.42.170,11899
2024-04-17 23:58:20,"attack type: normal - no attack, message: up",192.168.42.170,65435
2024-04-17 23:58:20,"attack type: normal - no attack, message: up",192.168.42.170,49333
2024-04-17 23:58:21,"attack type: normal - no attack, message: up",192.168.42.170,51812
2024-04-17 23:58:21,"attack type: normal - no attack, message: up",192.168.42.170,1976
2024-04-17 23:58:21,"attack type: normal - no attack, message: up",192.168.42.170,58617
2024-04-17 23:58:21,"attack type: normal - no attack, message: up",192.168.42.170,33078
2024-04-17 23:58:22,"attack type: normal - no attack, message: up",192.168.42.170,12614
2024-04-17 23:58:22,"attack type: normal - no attack, message: up",192.168.42.170,11435
2024-04-17 23:58:22,"attack type: normal - no attack, message: up",192.168.42.170,63091
2024-04-17 23:58:23,"attack type: normal - no attack, message: up",192.168.42.170,34019
2024-04-17 23:58:23,"attack type: normal - no attack, message: up",192.168.42.170,14179
2024-04-17 23:58:23,"attack type: normal - no attack, message: up",192.168.42.170,44458
2024-04-17 23:58:24,"attack type: normal - no attack, message: left",192.168.42.170,60530
2024-04-17 23:58:24,"attack type: normal - no attack, message: left",192.168.42.170,11589
2024-04-17 23:58:25,"attack type: normal - no attack, message: left",192.168.42.170,57455
2024-04-17 23:58:27,"attack type: normal - no attack, message: down",192.168.42.170,52079
2024-04-17 23:58:27,"attack type: normal - no attack, message: down",192.168.42.170,40243
2024-04-17 23:58:27,"attack type: normal - no attack, message: down",192.168.42.170,41530
2024-04-17 23:58:27,"attack type: normal - no attack, message: down",192.168.42.170,27804
2024-04-17 23:58:28,"attack type: normal - no attack, message: up",192.168.42.170,62636
2024-04-17 23:58:28,"attack type: normal - no attack, message: up",192.168.42.170,63432
2024-04-17 23:58:28,"attack type: normal - no attack, message: up",192.168.42.170,23288
2024-04-17 23:58:28,"attack type: normal - no attack, message: up",192.168.42.170,57769
2024-04-17 23:58:28,"attack type: normal - no attack, message: up",192.168.42.170,27528
2024-04-17 23:58:29,"attack type: normal - no attack, message: up",192.168.42.170,59305
2024-04-17 23:58:29,"attack type: normal - no attack, message: down",192.168.42.170,8150
2024-04-17 23:58:29,"attack type: normal - no attack, message: down",192.168.42.170,24905
2024-04-17 23:58:29,"attack type: normal - no attack, message: down",192.168.42.170,28654
2024-04-17 23:58:30,"attack type: normal - no attack, message: down",192.168.42.170,48928
2024-04-17 23:58:30,"attack type: normal - no attack, message: down",192.168.42.170,56030
2024-04-17 23:58:30,"attack type: normal - no attack, message: down",192.168.42.170,28853
2024-04-17 23:58:30,"attack type: normal - no attack, message: down",192.168.42.170,23211
2024-04-17 23:58:31,"attack type: normal - no attack, message: up",192.168.42.170,44616
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,24354
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,45673
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,20580
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,22310
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,9016
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,48471
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,11858
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,53804
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,63459
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,3103
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,50359
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,16152
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,58789
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,13374
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,58062
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,8730
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,21722
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,9769
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,889
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,30406
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,21346
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,52177
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,45595
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,40410
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,43847
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,9434
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,14471
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,1935
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,13115
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,13891
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,41664
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,42949
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,30522
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,64235
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,32662
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,56800
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,61672
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,64611
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,47448
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,47328
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,4574
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,64304
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,65234
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,12020
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,5540
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,39939
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,31685
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,17200
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,21073
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,63043
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,14281
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,11056
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,48771
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,19602
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,38964
2024-04-17 23:58:33,"attack type: malformed packet attack, message: none",17.6.72.150,16538
